algorithm,outer_run,generation,native_fitness,projected_fitness,pop_size,n_gen,steps,cxpb,mutpb,seed
EA2B,1,25,0.217483532679888,0.21863515878614742,120,30,4000,0.9,0.25,142
EA2B,1,26,0.217483532679888,0.21863515878614742,120,30,4000,0.9,0.25,142
EA2B,1,27,0.219499284088361,0.22191768568631773,120,30,4000,0.9,0.25,142
EA2B,1,28,0.21965987674281173,0.22208618512760378,120,30,4000,0.9,0.25,142
EA2B,1,29,0.22242138040311565,0.22423845234338188,120,30,4000,0.9,0.25,142
EA2B,1,30,0.22257256290353417,0.22436073017063624,120,30,4000,0.9,0.25,142
EA1,2,0,0.026993286354624505,0.026993286354624505,120,30,4000,0.9,0.25,242
EA1,2,1,0.056241709913581364,0.056241709913581364,120,30,4000,0.9,0.25,242
EA1,2,2,0.09651300463517751,0.09651300463517751,120,30,4000,0.9,0.25,242
EA1,2,3,0.09651300463517751,0.09651300463517751,120,30,4000,0.9,0.25,242
EA1,2,4,0.12769980101012227,0.12769980101012227,120,30,4000,0.9,0.25,242
EA1,2,5,0.15652703017144615,0.15652703017144615,120,30,4000,0.9,0.25,242
EA1,2,6,0.18599347391160367,0.18599347391160367,120,30,4000,0.9,0.25,242
EA1,2,7,0.18599347391160367,0.18599347391160367,120,30,4000,0.9,0.25,242
EA1,2,8,0.19604465440730584,0.19604465440730584,120,30,4000,0.9,0.25,242
EA1,2,9,0.19717832962739287,0.19717832962739287,120,30,4000,0.9,0.25,242
EA1,2,10,0.21572388108557178,0.21572388108557178,120,30,4000,0.9,0.25,242
EA1,2,11,0.21572388108557178,0.21572388108557178,120,30,4000,0.9,0.25,242
EA1,2,12,0.22701783732498662,0.22701783732498662,120,30,4000,0.9,0.25,242
EA1,2,13,0.22945316859401466,0.22945316859401466,120,30,4000,0.9,0.25,242
EA1,2,14,0.23589872138865212,0.23589872138865212,120,30,4000,0.9,0.25,242
EA1,2,15,0.24138471769026754,0.24138471769026754,120,30,4000,0.9,0.25,242
EA1,2,16,0.24161654699106766,0.24161654699106766,120,30,4000,0.9,0.25,242
EA1,2,17,0.24403620111570548,0.24403620111570548,120,30,4000,0.9,0.25,242
EA1,2,18,0.24533522978352215,0.24533522978352215,120,30,4000,0.9,0.25,242
EA1,2,19,0.24624581813567073,0.24624581813567073,120,30,4000,0.9,0.25,242
EA1,2,20,0.2474236914296023,0.2474236914296023,120,30,4000,0.9,0.25,242
EA1,2,21,0.24819417327151105,0.24819417327151105,120,30,4000,0.9,0.25,242
EA1,2,22,0.2525711739962138,0.2525711739962138,120,30,4000,0.9,0.25,242
EA1,2,23,0.2536522231016026,0.2536522231016026,120,30,4000,0.9,0.25,242
EA1,2,24,0.25567344116059343,0.25567344116059343,120,30,4000,0.9,0.25,242
EA1,2,25,0.2595281488605514,0.2595281488605514,120,30,4000,0.9,0.25,242
EA1,2,26,0.25964904549921763,0.25964904549921763,120,30,4000,0.9,0.25,242
EA1,2,27,0.26330601710590446,0.26330601710590446,120,30,4000,0.9,0.25,242
EA1,2,28,0.2638195576863812,0.2638195576863812,120,30,4000,0.9,0.25,242
EA1,2,29,0.26624811428287987,0.26624811428287987,120,30,4000,0.9,0.25,242
EA1,2,30,0.26798792040723407,0.26798792040723407,120,30,4000,0.9,0.25,242
EA2B,2,0,0.08917428664200175,0.09300752875886888,120,30,4000,0.9,0.25,242
EA2B,2,1,0.08917428664200175,0.09300752875886888,120,30,4000,0.9,0.25,242
EA2B,2,2,0.08982920260374104,0.09035625279615753,120,30,4000,0.9,0.25,242
EA2B,2,3,0.12675996961125674,0.1274013318104283,120,30,4000,0.9,0.25,242
EA2B,2,4,0.13318051484558163,0.13472398917868192,120,30,4000,0.9,0.25,242
EA2B,2,5,0.13318051484558163,0.13472398917868192,120,30,4000,0.9,0.25,242
EA2B,2,6,0.17560261143635852,0.1793153395442638,120,30,4000,0.9,0.25,242
EA2B,2,7,0.1853638927838665,0.1870653186799016,120,30,4000,0.9,0.25,242
EA2B,2,8,0.19519584477884305,0.20145621184955126,120,30,4000,0.9,0.25,242
EA2B,2,9,0.19673828693762002,0.20227028117017887,120,30,4000,0.9,0.25,242
EA2B,2,10,0.22878150503999506,0.23812569847617693,120,30,4000,0.9,0.25,242
EA2B,2,11,0.22878150503999506,0.23812569847617693,120,30,4000,0.9,0.25,242
EA2B,2,12,0.23925831732755098,0.24874286928497155,120,30,4000,0.9,0.25,242
EA2B,2,13,0.24363370838544193,0.24905180129376175,120,30,4000,0.9,0.25,242
EA2B,2,14,0.2493286646094065,0.2540030126639432,120,30,4000,0.9,0.25,242
EA2B,2,15,0.2544878318088414,0.2570281829438029,120,30,4000,0.9,0.25,242
EA2B,2,16,0.2617612639070931,0.26651408860618087,120,30,4000,0.9,0.25,242
EA2B,2,17,0.26292392257843455,0.26760857128939014,120,30,4000,0.9,0.25,242
EA2B,2,18,0.27531542432627787,0.2796783331054152,120,30,4000,0.9,0.25,242
EA2B,2,19,0.27531542432627787,0.2796783331054152,120,30,4000,0.9,0.25,242
EA2B,2,20,0.27957898806209686,0.2812967958226454,120,30,4000,0.9,0.25,242
EA2B,2,21,0.29031848355931983,0.2936746719124774,120,30,4000,0.9,0.25,242
EA2B,2,22,0.29708190428311776,0.3016874028791167,120,30,4000,0.9,0.25,242
EA2B,2,23,0.3051137852314312,0.31139108911740093,120,30,4000,0.9,0.25,242
EA2B,2,24,0.3109811529023826,0.31482151604367536,120,30,4000,0.9,0.25,242
EA2B,2,25,0.3148862519836092,0.3180435522130678,120,30,4000,0.9,0.25,242
EA2B,2,26,0.31730773096421483,0.3214133173037087,120,30,4000,0.9,0.25,242
EA2B,2,27,0.32234706847975536,0.3258140847334112,120,30,4000,0.9,0.25,242
EA2B,2,28,0.32234706847975536,0.3258140847334112,120,30,4000,0.9,0.25,242
EA2B,2,29,0.3229586351250521,0.3270248812697265,120,30,4000,0.9,0.25,242
EA2B,2,30,0.3229586351250521,0.3270248812697265,120,30,4000,0.9,0.25,242
EA1,3,0,0.035648461303816804,0.035648461303816804,120,30,4000,0.9,0.25,342
EA1,3,1,0.037647888025373534,0.037647888025373534,120,30,4000,0.9,0.25,342
EA1,3,2,0.037647888025373534,0.037647888025373534,120,30,4000,0.9,0.25,342
EA1,3,3,0.05409285297713729,0.05409285297713729,120,30,4000,0.9,0.25,342
EA1,3,4,0.05409285297713729,0.05409285297713729,120,30,4000,0.9,0.25,342
EA1,3,5,0.06887883658657348,0.06887883658657348,120,30,4000,0.9,0.25,342
EA1,3,6,0.0695695818957319,0.0695695818957319,120,30,4000,0.9,0.25,342
EA1,3,7,0.10579203762779917,0.10579203762779917,120,30,4000,0.9,0.25,342
EA1,3,8,0.13031429933813723,0.13031429933813723,120,30,4000,0.9,0.25,342
EA1,3,9,0.13646083588188904,0.13646083588188904,120,30,4000,0.9,0.25,342
EA1,3,10,0.14346915425092302,0.14346915425092302,120,30,4000,0.9,0.25,342
EA1,3,11,0.160496975784781,0.160496975784781,120,30,4000,0.9,0.25,342
EA1,3,12,0.1830041623572058,0.1830041623572058,120,30,4000,0.9,0.25,342
EA1,3,13,0.19253148816770288,0.19253148816770288,120,30,4000,0.9,0.25,342
EA1,3,14,0.19253148816770288,0.19253148816770288,120,30,4000,0.9,0.25,342
EA1,3,15,0.19944580616475055,0.19944580616475055,120,30,4000,0.9,0.25,342
EA1,3,16,0.20659149414939068,0.20659149414939068,120,30,4000,0.9,0.25,342
EA1,3,17,0.21860652176430193,0.21860652176430193,120,30,4000,0.9,0.25,342
EA1,3,18,0.2220307751461788,0.2220307751461788,120,30,4000,0.9,0.25,342
EA1,3,19,0.23652174172633567,0.23652174172633567,120,30,4000,0.9,0.25,342
EA1,3,20,0.24026449449156592,0.24026449449156592,120,30,4000,0.9,0.25,342
EA1,3,21,0.25022125324549255,0.25022125324549255,120,30,4000,0.9,0.25,342
EA1,3,22,0.25364544731567856,0.25364544731567856,120,30,4000,0.9,0.25,342
EA1,3,23,0.25849009219403646,0.25849009219403646,120,30,4000,0.9,0.25,342
EA1,3,24,0.2611372048973402,0.2611372048973402,120,30,4000,0.9,0.25,342
EA1,3,25,0.26400187245465284,0.26400187245465284,120,30,4000,0.9,0.25,342
EA1,3,26,0.2675339718026512,0.2675339718026512,120,30,4000,0.9,0.25,342
EA1,3,27,0.26767461249537955,0.26767461249537955,120,30,4000,0.9,0.25,342
EA1,3,28,0.27103143470496693,0.27103143470496693,120,30,4000,0.9,0.25,342
EA1,3,29,0.2742783880625079,0.2742783880625079,120,30,4000,0.9,0.25,342
EA1,3,30,0.2742783880625079,0.2742783880625079,120,30,4000,0.9,0.25,342
EA2B,3,0,0.011573291653039799,0.013582422471389778,120,30,4000,0.9,0.25,342
EA2B,3,1,0.019344520215376006,0.022377355570537768,120,30,4000,0.9,0.25,342
EA2B,3,2,0.05984420145636169,0.0602075744129956,120,30,4000,0.9,0.25,342
